menu, category, price, option, description
돌체 카라멜 칩 커피 프라푸치노,프라푸치노,5600,"1,2,3",부드러운 연유와 쫀득한 솔티드 카라멜이 만난 깊고 진한 커피 프라푸치노
망고 패션 프루트 블렌디드,블렌디드,5000,1,망고 패션 프루트 주스와 블랙 티가 깔끔하게 어우러진 과일 블렌디드
딸기 딜라이트 요거트 블렌디드,블렌디드,6100,1,유산균이 살아있는 리얼 요거트와 풍성한 딸기 과육이 더욱 상큼하게 어우러진 과일 요거트 블렌디드
망고 바나나 블렌디드,블렌디드,6300,1,인기 음료인 망고 패션후르츠 블렌디드에 신선한 바나나 1개가 통째로 들어간 달콤한 프라푸치노
민트 초콜릿 칩 블렌디드,블렌디드,6100,1,입 안 가득 상쾌한 민트 초콜릿과 부드러운 돌체 소스가 어우러진 초콜릿 블렌디드
딸기 레몬 블렌디드,블렌디드,5900,1,입 안 가득 풍부한 딸기 과육과 새콤한 레몬이 어우러진 블렌디드
라임 패션 티,티,5600,1,새콤달콤한 히비스커스와 라임의 이국적인 조화가 매력적인 라임 패션 티
아이스 라임 패션 티,티,5600,1,새콤달콤한 히비스커스와 라임의 이국적인 조화가 매력적인 라임 패션 티
민트 블렌드 티,티,4100,1,"스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티"
아이스 민트 블렌드 티,티,4100,1,"스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티"
얼 그레이 티,티,4100,1,꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티
아이스 얼 그레이 티,티,4100,1,꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티
유자 민트 티,티,5600,1,"달콤한 유자와 알싸하고 은은한 진저, 우릴 수록 상쾌한 민트 티가 조화로운 유자 민트 티"
아이스 유자 민트 티,티,5600,1,"달콤한 유자와 알싸하고 은은한 진저, 우릴 수록 상쾌한 민트 티가 조화로운 유자 민트 티"
캐모마일 블렌드 티,티,4100,1,"캐모마일과 레몬 그라스, 레몬밤, 히비스커스 등 블렌딩되어 은은하고 차분한 향이 기분을 좋게하는 허브 티"
아이스 캐모마일 블렌드 티,티,4100,1,"캐모마일과 레몬 그라스, 레몬밤, 히비스커스 등 블렌딩되어 은은하고 차분한 향이 기분을 좋게하는 허브 티"
히비스커스 블렌드 티,티,4100,1,"히비스커스, 사과, 파파야, 망고, 레몬그라스 등이 블렌딩된 상큼한 허브 티"
아이스 히비스커스 블렌드 티,티,4100,1,"히비스커스, 사과, 파파야, 망고, 레몬그라스 등이 블렌딩된 상큼한 허브 티"
제주 유기 녹차,티,4900,1,"우수한 품질의 제주도 유기농 녹차로 만든 맑은 수색과 신선한 향, 맛이 뛰어난 녹차"
아이스 제주 유기 녹차,티,4900,1,"우수한 품질의 제주도 유기농 녹차로 만든 맑은 수색과 신선한 향, 맛이 뛰어난 녹차"
자몽 허니 블랙 티,티,5300,1,새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 블랙 티의 조화
아이스 자몽 허니 블랙 티,티,5300,1,새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 블랙 티의 조화
패션 프루트 티,티,5600,1,달콤새콤 패션 프루트와 패션탱고 티의 완벽한 조화와 패션 프루트 씨앗으로 씹는 재미까지 느낄 수 있는 티 음료
아이스 패션 프루트 티,티,5600,1,달콤새콤 패션 프루트와 패션탱고 티의 완벽한 조화와 패션 프루트 씨앗으로 씹는 재미까지 느낄 수 있는 티 음료
잉글리쉬 브렉퍼스트 티,티,4100,1,"인도 아삼, 제주도 유기농 홍차가 블렌딩되어 진한 벌꿀향과 그윽한 몰트향이 특징인 블랙 티"
파인애플 선셋 아이스티,티,5900,1,"풍성한 과육과 파인애플과 캐모마일 티가 만나, 마치 휴양지에 온 듯한 기분을 느낄 수 있는 맑고 청량한 넌카페인 아이스 티"
쿨 라임 피지오,기타,5900,1,그린 빈 추출액이 들어간 라임 베이스에 건조된 라임 슬라이스를 넣고 스파클링한 시원하고 청량감 있는 음료
우유,기타,4100,1,부드럽고 담백한 신선한 우유
